map,method,all_med,bad_med,bnd_med,gross_pct
1,clean-halfquad,0.307973,0.235580,0.477681,1.4771
1,clean-infconv,0.092511,0.138470,0.167308,1.4771
1,clean-kuwahara,0.185907,0.244874,0.235189,1.4771
1,clean-mean,0.191760,0.242521,0.207583,1.4771
1,clean-median,0.066405,0.104862,0.104862,1.4771
1,clean-spline,0.026451,0.031770,0.028590,1.4771
1,halfquad,0.346783,42.328131,0.528336,4.9438
1,infconv,0.100453,42.328131,0.190498,4.9438
1,kuwahara,0.189980,42.297136,0.243523,4.9438
1,mean,0.193261,42.297136,0.211818,4.9438
1,median,0.068326,42.297136,0.109720,4.9438
1,noisy (no filter),0.521763,42.328503,0.576060,4.9500
1,spline,0.026758,42.297136,0.029166,4.9438
1,unet,0.070687,1.274579,0.095217,0.5188
2,noisy (no filter),0.524856,42.853827,0.553018,4.9500
2,unet,0.069430,1.184771,0.093192,0.4395
3,noisy (no filter),0.521373,43.077578,0.557161,4.9744
3,unet,0.071628,1.096603,0.094125,0.3601
4,noisy (no filter),0.531529,42.493636,0.552298,4.9744
4,unet,0.069009,1.181945,0.090577,0.4395
5,noisy (no filter),0.526738,42.164343,0.580100,4.9561
5,unet,0.070059,1.306611,0.095041,0.5737
6,noisy (no filter),0.530583,41.536788,0.566086,4.9744
6,unet,0.071662,1.331070,0.097148,0.5249
7,noisy (no filter),0.535447,41.839098,0.583754,4.9561
7,unet,0.069598,1.153790,0.091775,0.5127
8,noisy (no filter),0.525094,42.221665,0.574611,4.9561
8,unet,0.068519,1.134113,0.090903,0.3479
9,noisy (no filter),0.530890,41.961338,0.572853,4.9744
9,unet,0.071815,1.093723,0.095625,0.4395
10,noisy (no filter),0.523142,42.172381,0.574910,4.9377
10,unet,0.069719,1.195575,0.093737,0.5310
11,noisy (no filter),0.526296,42.489165,0.575003,4.9744
11,unet,0.069234,1.207117,0.090227,0.4700
12,noisy (no filter),0.527227,42.156093,0.581620,4.9683
12,unet,0.072156,1.425007,0.094699,0.4944
13,noisy (no filter),0.515049,42.628465,0.568082,4.9683
13,unet,0.069754,1.164171,0.093754,0.4395
14,noisy (no filter),0.517131,42.574954,0.561241,4.9683
14,unet,0.067086,1.162041,0.089943,0.4761
15,noisy (no filter),0.527272,41.287181,0.587742,4.9683
15,unet,0.072236,1.191742,0.096105,0.4456
16,noisy (no filter),0.530530,42.410010,0.562802,4.9683
16,unet,0.070829,1.185418,0.090773,0.5493
