EulerAngles_0 EulerAngles_1 EulerAngles_2
4.4721361 2.4456304 5.2523807
4.4761873 2.4514247 5.262403
4.4701584 2.4392697 5.2667445
4.4649542 2.4448924 5.2605248
4.4545057 2.450435 5.2574775
4.4595364 2.4537485 5.2600152
4.4616815 2.4298589 5.2598965
4.4686787 2.4437324 5.2629626
4.4728778 2.4409942 5.2710534
4.4582284 2.4518318 5.2537541
4.4532692 2.452068 5.2528238
4.4739232 2.4370105 5.2616342
4.4554142 2.4500925 5.2418639
4.480239 2.4459832 5.2645233
4.460745 2.0283748 1.3573183
4.466463 2.0322043 1.354226
4.464555 2.0273916 1.3599094
4.4669397 2.0264801 1.3611904
0 0 0
4.4644787 2.0201945 1.3634334
0 0 0
4.4776498 2.0366055 1.3723059
4.4601994 2.0301269 1.3558548
4.4810756 2.0294284 1.3632723
4.4653226 2.0243755 1.3552809
4.4753341 2.024448 1.3596991
4.465746 2.0327662 1.3602264
4.4761888 2.0234914 1.3785276
4.4747909 2.0316913 1.3615485
4.4625097 2.0226686 1.3529286
0 0 0
4.4709138 2.0281115 1.3578495
4.4667047 2.0202657 1.3749165
4.4784641 2.0323813 1.3587219
4.4694566 2.0234692 1.3590724
4.4776385 2.022884 1.3616519
0 0 0
4.4650756 2.0243336 1.3564625
4.4627613 2.0198859 1.3489806
2.1792364 1.6523764 6.0922487
2.1789422 1.6518981 6.0931665
2.1786862 1.6666451 6.1006277
2.1795926 1.6555513 6.0944145
2.1882013 1.665828 6.0915798
2.1730216 1.6500717 6.0931287
2.1783012 1.652508 6.0925634
2.1751498 1.6596593 6.0917258
0 0 0
0 0 0
2.1842321 1.6549424 6.0880864
2.1783328 1.6572521 6.106145
2.1796904 1.6555814 6.0996916
2.1798824 1.6537946 6.0939401
2.1784918 1.6569802 6.0936602
2.1808416 1.6576054 6.080487
2.1793526 1.6532436 6.1026455
2.1780074 1.6472457 6.0901052
0 0 0
2.1806584 1.6527872 6.094653
2.1838823 1.6524872 6.0939852
2.1888126 1.6569823 6.0885329
2.1837363 1.6559317 6.0891666
3.8664878 1.8705833 3.0155928
3.8529036 1.8675057 3.0189946
3.8620058 1.8734705 3.0157601
3.8585786 1.8760344 3.0161412
3.8658483 1.8698165 3.0186788
3.8591218 1.8692083 3.0123032
