EulerAngles_0 EulerAngles_1 EulerAngles_2
4.4694689 2.448357 5.2585791
4.469692 2.4484922 5.2608273
4.4687589 2.4470346 5.2621681
4.4686803 2.4465527 5.2625774
4.4657128 2.4471221 5.2618527
4.4654433 2.446718 5.2619634
4.4656091 2.4423446 5.2619473
4.4662248 2.4446569 5.2620833
4.4656299 2.4449002 5.2614773
4.4638797 2.4459017 5.2599552
4.4632196 2.4462566 5.2591493
4.4662643 2.4426996 5.257988
4.4612274 2.4453616 5.2507965
4.4658099 2.4455412 5.2539897
4.4657502 2.0312694 1.357645
4.4663716 2.0299446 1.3590363
4.4670237 2.0286115 1.3604394
4.4676764 2.0272646 1.361813
0 0 0
4.4675564 2.0235344 1.362886
0 0 0
4.4716087 2.0305769 1.3650553
4.468416 2.0279138 1.3612463
4.4693644 2.0276702 1.3616036
4.4689054 2.0276411 1.3614565
4.4686079 2.0276234 1.3613486
4.4682992 2.027579 1.3613354
4.4692931 2.0264867 1.3641876
4.4682352 2.0267804 1.3619324
4.4673323 2.0261468 1.36134
0 0 0
4.4685166 2.02551 1.3621956
4.469112 2.0244509 1.3640726
4.4708674 2.0251771 1.3618074
4.4714896 2.0244954 1.3614749
4.4723978 2.0241855 1.3611007
0 0 0
4.4684936 2.0236153 1.3554251
4.4688743 2.024087 1.3533253
2.1795405 1.6521705 6.0942585
2.1789524 1.6522842 6.0942621
2.1787266 1.6563746 6.0955299
2.1783083 1.6563611 6.0954189
2.1794662 1.6579823 6.0941253
2.1757605 1.6550499 6.0943172
2.1755511 1.6551552 6.0944733
2.1753283 1.6557306 6.094058
0 0 0
0 0 0
2.1786221 1.6549502 6.0946968
2.1782493 1.6547109 6.0962504
2.1785214 1.6544907 6.0958847
2.178876 1.6542061 6.0957585
2.1792485 1.653936 6.0956835
2.1799189 1.6541691 6.0926804
2.1795136 1.6525601 6.0962302
2.1798139 1.6523357 6.0961361
0 0 0
2.1808012 1.6531718 6.0948255
2.1814911 1.6538422 6.0938578
2.1821883 1.6545297 6.0928617
2.1828895 1.6552128 6.0918723
3.8616189 1.8701151 3.0144804
3.8591729 1.8696307 3.0143082
3.8600719 1.8695126 3.0147921
3.8609476 1.8694015 3.0152604
3.861772 1.8693518 3.0156691
3.8625084 1.8693999 3.0160172
3.8631531 1.8695431 3.0162934
3.863737 1.8697624 3.0165358
3.8640922 1.8708418 3.0169045
3.8621648 1.8719719 3.0159264
3.8621566 1.8726325 3.0164765
3.8628902 1.8761578 3.0192568
0 0 0
3.8643487 1.8742972 3.0178189
3.8631809 1.8721765 3.017126
3.862764 1.8711619 3.0165376
1.8368542 2.6665824 3.56096
1.8369588 2.6662012 3.5609889
1.8362578 2.666445 3.5602555
1.8359443 2.6649871 3.5605747
1.8361987 2.6646161 3.5608308
1.836461 2.6642395 3.5611913
1.8370131 2.6644018 3.5619914
1.8372221 2.6640739 3.5623132
1.8377312 2.6635801 3.5632228
1.8377367 2.6633867 3.5634479
1.8377389 2.6631972 3.5636679
1.8339474 2.6650804 3.5606935
1.8347763 2.6659253 3.5607912
1.8282604 2.6644764 3.5540869
1.8315347 2.6668702 3.5584694
1.8358071 2.6694339 3.563495
1.3464876 2.0160206 6.0904077
1.3519264 2.0156582 6.0941025
0 0 0
1.3433783 2.0177289 6.0857391
1.3436728 2.0178163 6.0857209
