EulerAngles_0 EulerAngles_1 EulerAngles_2
4.4730907 2.4448997 5.2607223
4.4744965 2.4484941 5.2572984
4.4628033 2.4444696 5.2616823
4.4591873 2.4501159 5.2591756
4.4628033 2.4444696 5.2616823
4.4591873 2.4501159 5.2591756
4.4682734 2.437313 5.2654019
4.4671048 2.4454817 5.2631902
4.4605253 2.4474727 5.2594604
4.4671048 2.4454817 5.2631902
4.4605253 2.4474727 5.2594604
4.4638678 2.4453342 5.2602071
4.4641664 2.4485829 5.2534346
4.4776178 2.4490973 5.2634139
4.4637859 2.0293284 1.3568793
4.4662152 2.0287163 1.3582087
4.4659353 2.0268204 1.3606954
4.4658858 2.0231793 1.3624732
0 0 0
4.4658858 2.0231793 1.3624732
0 0 0
4.4687156 2.0282675 1.3611741
4.4694004 2.0282666 1.3604553
4.4746705 2.025831 1.3593747
4.4697061 2.0294337 1.360815
4.4746705 2.025831 1.3593747
4.4697061 2.0294337 1.360815
4.4685136 2.0272998 1.3626485
4.4659202 2.0272231 1.3601107
4.4664121 2.0254151 1.35488
0 0 0
4.4664121 2.0254151 1.35488
4.4682899 2.0254407 1.363395
4.4754194 2.0265338 1.3596696
4.4732649 2.0230431 1.3604948
4.4725819 2.0228656 1.3601919
0 0 0
4.4635686 2.0219423 1.3525558
4.4635686 2.0219423 1.3525558
2.178937 1.6576762 6.0955926
2.1790901 1.6521549 6.092625
2.1795924 1.6587427 6.0960706
2.1790229 1.6584629 6.0962295
2.1753878 1.6558325 6.0941257
2.1751674 1.6538963 6.0923189
2.1768757 1.6561452 6.0920591
2.1751674 1.6538963 6.0923189
0 0 0
0 0 0
2.1802149 1.654872 6.0967119
2.179225 1.6556574 6.1004004
2.1793899 1.655557 6.0959006
2.179225 1.6556574 6.1004004
2.1793899 1.655557 6.0959006
2.1798712 1.6563667 6.0887338
2.1795652 1.6504196 6.0990581
2.1791109 1.6499765 6.0919929
0 0 0
2.1791109 1.6499765 6.0919929
2.182315 1.6525848 6.0944404
2.1870101 1.6568191 6.0884536
2.1817478 1.6544518 6.0923353
3.8662504 1.8700696 3.017035
3.857072 1.8727098 3.0171145
3.8620811 1.8735358 3.0169905
3.8606207 1.8719014 3.0156079
3.8620811 1.8735358 3.0169905
3.8595236 1.870442 3.0108422
3.8610702 1.8719395 3.0144976
3.8595236 1.870442 3.0108422
3.8614731 1.8713416 3.014253
3.8585179 1.8711864 3.0144513
3.860698 1.8773206 3.0210459
3.8656497 1.8832054 3.020721
0 0 0
3.8656497 1.8832054 3.020721
3.8632245 1.8692546 3.0163561
3.8665094 1.8699936 3.0150124
1.8347513 2.670523 3.559082
1.8324058 2.6667554 3.5596858
1.8347513 2.670523 3.559082
1.8384596 2.6622675 3.5642094
1.8338426 2.6653164 3.5593117
1.8384596 2.6622675 3.5642094
1.8364786 2.6658701 3.5615265
1.8323661 2.6663171 3.5578152
