EulerAngles_0 EulerAngles_1 EulerAngles_2
4.4695152 2.4505428 5.2582844
4.4704477 2.447081 5.2615797
4.4693591 2.4466638 5.2622462
4.4650148 2.4442745 5.2625712
4.4641101 2.4483266 5.2604492
4.4620004 2.4434158 5.2600324
4.4668751 2.4439661 5.2612394
4.4680433 2.4391652 5.2638685
4.4684439 2.4459559 5.2625467
4.4626245 2.4469002 5.2605385
4.4637605 2.4449812 5.2583464
4.4584281 2.4452931 5.2510793
4.4659499 2.4422347 5.2537592
4.460533 2.4461513 5.2492282
4.4654585 2.030498 1.3580482
4.4639927 2.0303736 1.3587329
4.4653471 2.0301838 1.3595292
4.464716 2.0265767 1.3597672
0 0 0
4.4663201 2.0240642 1.3606116
0 0 0
4.465678 2.0318355 1.3601353
4.4712234 2.032006 1.3624094
4.4675499 2.0295728 1.3579643
4.4738646 2.0279327 1.361075
4.4687207 2.029463 1.3592712
4.4715001 2.0254162 1.365274
4.4704949 2.0281229 1.3652423
4.4699772 2.024169 1.3642974
4.4687421 2.027605 1.3599137
0 0 0
4.4678572 2.0236644 1.3649719
4.4713683 2.0254074 1.3632589
4.4699608 2.024625 1.3640867
4.4742513 2.0241994 1.3601643
4.4709179 2.0220372 1.3591716
0 0 0
4.4686237 2.0245044 1.3554661
4.4687858 2.0242979 1.3533376
2.1793317 1.649816 6.0929462
2.1787541 1.6543015 6.0955833
2.1784251 1.6544349 6.0967595
2.1806638 1.6613173 6.0970615
2.1782969 1.6554906 6.0950634
2.1792779 1.6554064 6.0941545
2.1757852 1.6546757 6.0928563
2.176942 1.6561731 6.0921836
0 0 0
0 0 0
2.1793386 1.6539019 6.097197
2.1811484 1.6543689 6.0979086
2.1796636 1.6542758 6.0991916
2.1784994 1.6546777 6.0958052
2.1788142 1.655019 6.0895047
2.1785334 1.6550396 6.0947399
2.1791446 1.6526056 6.091565
2.1791139 1.651508 6.0991556
0 0 0
2.1816687 1.6526992 6.0950587
2.1834883 1.6539559 6.0921917
2.1836535 1.6544879 6.0910078
2.1836902 1.655229 6.090185
3.8613452 1.8692131 3.0161021
3.8596324 1.8692375 3.0148388
3.8573098 1.8704545 3.015835
3.8621578 1.8711483 3.0165687
3.8618845 1.8712593 3.0159555
3.8629774 1.870517 3.0168157
3.8615276 1.8681645 3.0157064
3.8655004 1.8704856 3.0190001
3.8633852 1.8704537 3.0144648
3.8635158 1.8722084 3.0161676
3.8599528 1.8762723 3.0159022
3.8625629 1.8751419 3.0210924
0 0 0
3.8628159 1.8717833 3.0193824
3.8632204 1.8718367 3.0164934
3.8607594 1.8684927 3.0155302
1.8393412 2.666093 3.5625751
1.8367669 2.6692213 3.559009
1.8347344 2.6663013 3.5579471
1.8329436 2.6660258 3.555705
1.8352551 2.6609059 3.558955
1.8352897 2.6658203 3.55842
1.8348946 2.6670035 3.5592285
1.8390239 2.6669648 3.5645137
1.8360491 2.6639153 3.5640091
1.8424027 2.6618452 3.5717791
1.8350075 2.6637422 3.5643463
1.8432305 2.6678959 3.5706461
1.8273625 2.6664499 3.554183
1.8300392 2.6683026 3.5575052
1.8268667 2.6660763 3.5540995
1.8338832 2.667906 3.5617189
1.348322 2.0152873 6.0922602
1.3505112 2.0148 6.0929512
0 0 0
1.3430743 2.0174349 6.0887081
1.3445111 2.0173078 6.0856319
1.3446979 2.0162296 6.084842
1.3476364 2.0161435 6.083152
1.3497203 2.0174111 6.0854645
1.3491444 2.0182554 6.0890985
1.3534791 2.0153523 6.088241
1.349916 2.0142615 6.0883602
1.3470099 2.0184839 6.0839985
1.3459003 2.0202648 6.0868037
1.3426977 2.0180609 6.0850767
1.3424989 2.018312 6.0888799
1.3399971 2.0201207 6.089313
3.6452779 1.715234 3.136225
0 0 0
3.6457594 1.7127931 3.1354327
3.6466442 1.7171502 3.1366658
3.6457391 1.7106957 3.1383844
3.6468665 1.7145775 3.140804
3.6458955 1.7104148 3.1401962
3.6456843 1.7154864 3.1408334
3.6458098 1.7167701 3.1408984
3.7962904 2.6345247 2.0660538
3.7974275 2.6299308 2.0725851
3.7936565 2.6267268 2.0733902
3.7886883 2.6279232 2.069855
3.7855922 2.631682 2.066046
3.7903105 2.6336998 2.0671405
3.7914025 2.6330495 2.068572
3.7969017 2.6270306 2.0726946
3.7989557 2.6237803 2.0766456
4.465022 2.4498228 5.2549615
4.4686627 2.4490138 5.2598896
4.4702063 2.4488728 5.2612699
4.467564 2.4477193 5.2628386
4.4681077 2.4477226 5.2633212
4.4668866 2.4460784 5.2660214
4.4698559 2.4439446 5.263213
4.4643117 2.4424038 5.2604181
4.4648964 2.4461969 5.2592881
4.4596997 2.4478632 5.2589974
4.4636466 2.4454228 5.2600911
4.4614816 2.4452183 5.2548243
4.4686392 2.4441926 5.2571413
4.4641664 2.4485829 5.2534346
4.4661431 2.0303521 1.3581244
4.4651445 2.0290618 1.3581
4.4669125 2.0297133 1.361248
4.4662386 2.0245731 1.3609302
4.4698335 2.0242508 1.3639611
4.4712334 2.0211537 1.3632153
4.4708833 2.0262585 1.3638597
4.4672829 2.0266615 1.3596249
4.4693994 2.0272046 1.3617148
4.469662 2.0285325 1.3602645
4.4720661 2.0259202 1.3617632
4.4700255 2.0298235 1.3607438
4.4685142 2.0271609 1.3629429
4.4684061 2.02955 1.3637944
4.4670697 2.026266 1.3618812
4.4656076 2.0272857 1.3603093
4.4675401 2.0246235 1.3594063
4.4681169 2.0262636 1.3635171
4.4702038 2.0244129 1.3635487
4.4690485 2.0255028 1.361687
4.4722853 2.0235517 1.3615245
4.471758 2.023318 1.3593258
4.4729892 2.0228107 1.3604038
4.4699868 2.0252519 1.3557786
4.4707594 2.0258367 1.3545963
0 0 0
2.1800894 1.6522717 6.0969919
2.1799144 1.6534118 6.0973366
2.1797824 1.6590723 6.0957516
2.1761353 1.6570473 6.0933997
2.1749826 1.6563924 6.0940408
2.1739581 1.6559686 6.0928043
2.1749278 1.6549091 6.0957775
2.1749021 1.6550693 6.0937835
2.1769121 1.652993 6.093849
2.177923 1.6546456 6.096593
2.1800414 1.6554626 6.096257
2.1799834 1.6549954 6.098414
2.1793252 1.6544478 6.0963663
2.181108 1.6550794 6.0909487
2.180888 1.6539046 6.0943572
2.1819953 1.6528956 6.0925158
2.1796953 1.6506634 6.0991945
2.1791792 1.6509041 6.0957617
2.1806144 1.6531058 6.0951616
2.1823401 1.6549863 6.0918219
2.1834352 1.6559226 6.0921615
2.1823168 1.6552912 6.0914956
0 0 0
3.8598818 1.8679094 3.0132079
3.858201 1.8687925 3.0129147
3.8599925 1.8699699 3.0153113
3.8605196 1.8691713 3.0172661
3.8626056 1.8675816 3.0190995
3.8613284 1.865288 3.0174448
3.8658536 1.8684159 3.0176165
3.8635905 1.8688888 3.0153166
3.8616156 1.8718445 3.0141818
3.8581621 1.8721652 3.0148452
3.8598878 1.8726826 3.0181851
3.8625777 1.8747678 3.0176808
3.8615682 1.8718953 3.0174662
3.8640698 1.8708234 3.015501
3.8646155 1.869401 3.0158856
1.8363817 2.6663032 3.5620366
1.8319405 2.6665486 3.5574788
1.8305761 2.6644735 3.556198
1.8301842 2.6640463 3.556093
1.8363294 2.6631883 3.5601997
1.836743 2.6650847 3.5592313
1.8375154 2.6663317 3.5604113
1.836785 2.6657863 3.5617514
1.8344345 2.6619655 3.5611267
1.8373669 2.6620609 3.5649627
1.8357469 2.660794 3.5639129
1.8401198 2.6655996 3.565769
1.8315461 2.663199 3.5557854
1.8287537 2.6663785 3.5531905
1.8230257 2.6654693 3.548522
1.8313445 2.6677032 3.5573018
1.3455049 2.0159398 6.0873085
1.3484331 2.0185394 6.088932
1.3405591 2.0020529 6.0680333
1.3384371 2.0052035 6.0693149
1.3381104 2.005601 6.0679676
1.3481422 2.0187525 6.0858676
1.3475253 2.0182809 6.0856363
1.3490373 2.0168798 6.0858995
1.3464232 2.0185315 6.0878203
1.3485907 2.0169465 6.0879221
1.3482274 2.0159755 6.0872643
1.3473385 2.0176703 6.0853989
1.3447338 2.0170785 6.0850877
1.3411481 2.0170797 6.082903
1.3421176 2.0158087 6.0851078
1.3402974 2.0187772 6.0867525
3.6461498 1.7159488 3.1363425
3.6482284 1.7163929 3.1355517
3.6501195 1.7150737 3.1343633
3.6499799 1.7181589 3.1347513
3.6478565 1.7141683 3.136838
3.6471464 1.7149449 3.1397512
3.6457181 1.7119825 3.1382512
3.6457239 1.7146144 3.1392714
3.6459472 1.7168742 3.1385315
3.6467053 1.7165415 3.141184
3.7954692 2.629906 2.0707526
3.7913648 2.6277583 2.0701301
3.7885818 2.6279276 2.0692378
3.7873999 2.6302717 2.0696214
3.788101 2.6313182 2.0686256
3.7924834 2.6316194 2.0710602
3.7936389 2.6279742 2.0697234
3.7953623 2.62499 2.0716329
4.4627661 2.4498382 5.2604142
4.4656716 2.4492485 5.2622232
4.4693128 2.4478993 5.2637463
4.4701136 2.4472118 5.2641753
4.4733477 2.4437275 5.2634814
