EulerAngles_0 EulerAngles_1 EulerAngles_2
4.47686 2.4517 5.26285
4.46521 2.44512 5.2606
4.46521 2.44512 5.2606
4.46521 2.44512 5.2606
4.46521 2.44512 5.2606
4.46521 2.44512 5.2606
4.46846 2.44407 5.26277
4.46266 2.44456 5.2584
4.46453 2.44454 5.26071
4.46453 2.44454 5.26071
4.46266 2.44456 5.2584
4.46453 2.44454 5.26071
4.46453 2.44454 5.26071
4.4813 2.44568 5.26533
4.4645 2.02722 1.36003
4.4645 2.02722 1.36003
4.46669 2.02615 1.36123
4.46669 2.02615 1.36123
0 0 0
4.46737 2.02642 1.36136
0 0 0
4.46673 2.02695 1.36146
4.46673 2.02695 1.36146
4.46673 2.02695 1.36146
4.4662 2.02673 1.35981
4.46673 2.0262 1.36151
4.4662 2.02673 1.35981
4.4662 2.02673 1.35981
4.4662 2.02673 1.35981
4.46425 2.02765 1.35899
0 0 0
4.46648 2.02638 1.35967
4.46648 2.02638 1.35967
4.46817 2.02298 1.35914
4.46817 2.02298 1.35914
4.46817 2.02298 1.35914
0 0 0
4.4693 2.02431 1.35608
4.4693 2.02431 1.35608
2.17888 1.65183 6.0932
2.17955 1.65484 6.09396
2.17955 1.65484 6.09396
2.17579 1.6531 6.09626
2.17579 1.6531 6.09626
2.17579 1.6531 6.09626
2.17579 1.6531 6.09626
2.171 1.65421 6.09128
0 0 0
0 0 0
2.18036 1.65343 6.09384
2.18014 1.65336 6.09388
2.18014 1.65336 6.09388
2.18085 1.65376 6.09421
2.18036 1.65343 6.09384
2.18014 1.65336 6.09388
2.18085 1.65376 6.09421
2.18124 1.65157 6.09536
0 0 0
2.18029 1.65301 6.09462
2.17995 1.65368 6.09248
2.17995 1.65368 6.09248
2.1827 1.65479 6.09408
3.86326 1.86794 3.01429
3.86326 1.86794 3.01429
3.86326 1.86794 3.01429
3.86099 1.86873 3.0134
3.86099 1.86873 3.0134
3.86099 1.86873 3.0134
3.86642 1.86949 3.01934
3.86099 1.86873 3.0134
3.86176 1.86976 3.01513
3.86176 1.86976 3.01513
3.86312 1.87231 3.01681
3.86176 1.86976 3.01513
0 0 0
3.86052 1.87012 3.01585
3.86052 1.87012 3.01585
3.86602 1.86806 3.01626
1.83103 2.66704 3.55838
1.83378 2.66647 3.56099
1.83389 2.6663 3.55944
1.83389 2.6663 3.55944
1.83389 2.6663 3.55944
1.83389 2.6663 3.55944
1.83389 2.6663 3.55944
1.83479 2.66681 3.56111
1.83535 2.66651 3.5613
1.83535 2.66651 3.5613
1.83836 2.6661 3.56471
1.83535 2.66651 3.5613
1.83535 2.66651 3.5613
1.82212 2.66294 3.54437
1.82212 2.66294 3.54437
1.82212 2.66294 3.54437
1.3455 2.01695 6.0896
1.34155 2.01576 6.08448
0 0 0
1.34271 2.01751 6.08459
1.34271 2.01751 6.08459
1.34462 2.01634 6.08533
1.3448 2.01668 6.08577
1.34487 2.01655 6.08571
1.34487 2.01655 6.08571
1.3448 2.01668 6.08577
1.3448 2.01668 6.08577
1.3434 2.01668 6.0853
1.3434 2.01668 6.0853
1.3378 2.01715 6.0873
1.3378 2.01715 6.0873
1.3378 2.01715 6.0873
3.64455 1.71489 3.13616
0 0 0
3.64727 1.71503 3.1371
3.64727 1.71503 3.1371
3.64649 1.71431 3.1369
3.64647 1.71406 3.13761
3.64628 1.71454 3.1372
3.64647 1.71406 3.13761
3.64685 1.71591 3.13848
3.80439 2.63287 2.07616
3.79097 2.62376 2.07195
3.79611 2.62997 2.07037
3.79975 2.63029 2.08027
3.78856 2.63447 2.06963
3.78959 2.63065 2.06827
3.78959 2.63065 2.06827
3.78959 2.63065 2.06827
3.78537 2.62857 2.06133
4.46538 2.44507 5.26038
4.46538 2.44507 5.26038
4.46538 2.44507 5.26038
4.47211 2.44418 5.26678
4.46857 2.44329 5.26236
4.46846 2.44407 5.26277
4.46846 2.44407 5.26277
4.46846 2.44407 5.26277
4.46453 2.44454 5.26071
4.46453 2.44454 5.26071
4.46453 2.44454 5.26071
4.46453 2.44454 5.26071
4.46453 2.44454 5.26071
4.47508 2.44277 5.26195
4.4645 2.02722 1.36003
4.46737 2.02642 1.36136
4.46737 2.02642 1.36136
4.46737 2.02642 1.36136
4.46669 2.02615 1.36123
4.46737 2.02642 1.36136
4.46673 2.02695 1.36146
4.46704 2.02585 1.3627
4.46673 2.02695 1.36146
4.46673 2.02695 1.36146
4.46729 2.02721 1.36099
4.46729 2.02721 1.36099
4.46729 2.02721 1.36099
4.46729 2.02721 1.36099
4.46729 2.02721 1.36099
4.46774 2.0278 1.36184
4.46648 2.02638 1.35967
4.46648 2.02638 1.35967
4.46774 2.0278 1.36184
4.46648 2.02638 1.35967
4.46648 2.02638 1.35967
4.46817 2.02298 1.35914
4.46817 2.02298 1.35914
4.4693 2.02431 1.35608
4.4693 2.02431 1.35608
0 0 0
2.17976 1.65385 6.09269
2.17955 1.65484 6.09396
2.17955 1.65484 6.09396
2.17579 1.6531 6.09626
2.17579 1.6531 6.09626
2.17579 1.6531 6.09626
2.171 1.65421 6.09128
2.17543 1.6538 6.09126
2.17543 1.6538 6.09126
2.18036 1.65343 6.09384
2.18014 1.65336 6.09388
2.18014 1.65336 6.09388
2.18085 1.65376 6.09421
2.18036 1.65343 6.09384
2.18014 1.65336 6.09388
2.18085 1.65376 6.09421
2.18124 1.65157 6.09536
2.18124 1.65157 6.09536
2.18029 1.65301 6.09462
2.18029 1.65301 6.09462
2.18029 1.65301 6.09462
2.17995 1.65368 6.09248
0 0 0
3.86345 1.87107 3.01536
3.86345 1.87107 3.01536
3.86345 1.87107 3.01536
3.86345 1.87107 3.01536
3.86345 1.87107 3.01536
3.867 1.87031 3.01742
3.86099 1.86873 3.0134
3.86176 1.86976 3.01513
3.86176 1.86976 3.01513
3.86312 1.87231 3.01681
3.86176 1.86976 3.01513
3.86176 1.86976 3.01513
3.86726 1.87039 3.01823
3.86052 1.87012 3.01585
3.86052 1.87012 3.01585
1.83378 2.66647 3.56099
1.83378 2.66647 3.56099
1.83378 2.66647 3.56099
1.83389 2.6663 3.55944
1.83882 2.66583 3.56482
1.83882 2.66583 3.56482
1.83389 2.6663 3.55944
1.83479 2.66681 3.56111
1.83535 2.66651 3.5613
1.83535 2.66651 3.5613
1.83836 2.6661 3.56471
1.83535 2.66651 3.5613
1.83563 2.66364 3.56292
1.83783 2.66482 3.55818
1.83783 2.66482 3.55818
1.82212 2.66294 3.54437
1.3455 2.01695 6.0896
1.34425 2.01616 6.08271
1.34425 2.01616 6.08271
1.34271 2.01751 6.08459
1.34271 2.01751 6.08459
1.34462 2.01634 6.08533
1.3448 2.01668 6.08577
1.3448 2.01668 6.08577
1.34487 2.01655 6.08571
1.3448 2.01668 6.08577
1.3448 2.01668 6.08577
1.3434 2.01668 6.0853
1.34496 2.01674 6.08624
1.34408 2.01615 6.08483
1.34408 2.01615 6.08483
1.34496 2.01674 6.08624
3.64727 1.71503 3.1371
3.64727 1.71503 3.1371
3.64727 1.71503 3.1371
3.64727 1.71503 3.1371
3.64649 1.71431 3.1369
3.64628 1.71454 3.1372
3.64628 1.71454 3.1372
3.64685 1.71591 3.13848
3.64685 1.71591 3.13848
3.64598 1.71639 3.13793
3.79097 2.62376 2.07195
3.78808 2.62837 2.06743
3.78808 2.62837 2.06743
3.78808 2.62837 2.06743
3.78959 2.63065 2.06827
3.78959 2.63065 2.06827
3.78959 2.63065 2.06827
3.78537 2.62857 2.06133
4.46538 2.44507 5.26038
4.46538 2.44507 5.26038
4.46538 2.44507 5.26038
4.46857 2.44329 5.26236
4.46857 2.44329 5.26236
4.46846 2.44407 5.26277
4.46846 2.44407 5.26277
4.46615 2.44373 5.2617
4.46453 2.44454 5.26071
4.46453 2.44454 5.26071
4.46645 2.44342 5.26138
4.46453 2.44454 5.26071
4.46453 2.44454 5.26071
4.47508 2.44277 5.26195
4.46733 2.02736 1.36117
4.46733 2.02736 1.36117
4.46733 2.02736 1.36117
4.46737 2.02642 1.36136
4.46669 2.02615 1.36123
4.46737 2.02642 1.36136
4.46743 2.02606 1.36212
4.46743 2.02606 1.36212
4.46673 2.02695 1.36146
4.4668 2.02704 1.36112
4.4668 2.02704 1.36112
4.46729 2.02721 1.36099
4.46729 2.02721 1.36099
4.46673 2.0262 1.36151
4.46729 2.02721 1.36099
4.46639 2.02606 1.36107
4.46639 2.02606 1.36107
4.46648 2.02638 1.35967
4.46774 2.0278 1.36184
4.46648 2.02638 1.35967
4.46648 2.02638 1.35967
4.46817 2.02298 1.35914
4.46817 2.02298 1.35914
4.4685 2.02775 1.36168
4.46647 2.02368 1.35701
0 0 0
2.17955 1.65484 6.09396
2.17955 1.65484 6.09396
2.17696 1.65207 6.09405
2.17696 1.65207 6.09405
2.17696 1.65207 6.09405
2.17696 1.65207 6.09405
2.17893 1.65221 6.09221
2.17543 1.6538 6.09126
2.17543 1.6538 6.09126
2.18036 1.65343 6.09384
2.18014 1.65336 6.09388
2.18014 1.65336 6.09388
2.18085 1.65376 6.09421
2.18014 1.65336 6.09388
2.18014 1.65336 6.09388
2.18085 1.65376 6.09421
2.18029 1.65301 6.09462
2.18029 1.65301 6.09462
2.18029 1.65301 6.09462
2.18029 1.65301 6.09462
2.17995 1.65368 6.09248
2.1827 1.65479 6.09408
3.86284 1.87378 3.01581
3.86345 1.87107 3.01536
3.86345 1.87107 3.01536
3.86345 1.87107 3.01536
3.86345 1.87107 3.01536
3.86345 1.87107 3.01536
3.867 1.87031 3.01742
3.86099 1.86873 3.0134
3.86176 1.86976 3.01513
3.86184 1.8715 3.01497
3.86312 1.87231 3.01681
3.86548 1.87173 3.02032
3.86548 1.87173 3.02032
3.86548 1.87173 3.02032
3.86548 1.87173 3.02032
3.86052 1.87012 3.01585
1.83378 2.66647 3.56099
1.83378 2.66647 3.56099
1.83378 2.66647 3.56099
1.83389 2.6663 3.55944
1.83882 2.66583 3.56482
1.83882 2.66583 3.56482
1.83389 2.6663 3.55944
1.83479 2.66681 3.56111
1.83535 2.66651 3.5613
1.83535 2.66651 3.5613
1.83535 2.66651 3.5613
1.83535 2.66651 3.5613
1.83535 2.66651 3.5613
1.83783 2.66482 3.55818
1.83783 2.66482 3.55818
0 0 0
1.34425 2.01616 6.08271
1.34425 2.01616 6.08271
1.34425 2.01616 6.08271
1.34425 2.01616 6.08271
1.34447 2.01556 6.08491
1.34462 2.01634 6.08533
1.34487 2.01655 6.08571
1.34487 2.01655 6.08571
1.34487 2.01655 6.08571
1.34487 2.01655 6.08571
1.3448 2.01668 6.08577
1.3434 2.01668 6.0853
1.34496 2.01674 6.08624
1.34496 2.01674 6.08624
1.34496 2.01674 6.08624
0 0 0
3.64727 1.71503 3.1371
3.64727 1.71503 3.1371
3.64727 1.71503 3.1371
3.64649 1.71431 3.1369
3.64647 1.71406 3.13761
3.64628 1.71454 3.1372
3.64628 1.71454 3.1372
3.64647 1.71406 3.13761
3.64685 1.71591 3.13848
3.64598 1.71639 3.13793
3.64415 1.71529 3.13672
3.78808 2.62837 2.06743
3.78808 2.62837 2.06743
3.79125 2.62836 2.06927
3.79125 2.62836 2.06927
3.79125 2.62836 2.06927
3.79125 2.62836 2.06927
3.79125 2.62836 2.06927
4.46538 2.44507 5.26038
4.46857 2.44329 5.26236
4.46857 2.44329 5.26236
4.47182 2.44276 5.26114
4.46857 2.44329 5.26236
4.46857 2.44329 5.26236
4.46615 2.44373 5.2617
4.46615 2.44373 5.2617
4.46453 2.44454 5.26071
4.46453 2.44454 5.26071
4.46626 2.44351 5.26101
4.46453 2.44454 5.26071
4.46626 2.44351 5.26101
4.47508 2.44277 5.26195
4.46733 2.02736 1.36117
4.46669 2.02615 1.36123
4.46669 2.02615 1.36123
4.46669 2.02615 1.36123
4.46669 2.02615 1.36123
4.46669 2.02615 1.36123
4.46743 2.02606 1.36212
4.46743 2.02606 1.36212
4.46673 2.02695 1.36146
4.46673 2.02695 1.36146
4.4668 2.02704 1.36112
4.4668 2.02704 1.36112
4.46673 2.0262 1.36151
4.46673 2.0262 1.36151
4.46692 2.02616 1.36179
4.46692 2.02616 1.36179
4.46639 2.02606 1.36107
4.46579 2.02787 1.36143
4.46648 2.02638 1.35967
4.46648 2.02638 1.35967
4.46648 2.02638 1.35967
4.46834 2.0276 1.36538
4.4685 2.02775 1.36168
4.4685 2.02775 1.36168
4.4685 2.02775 1.36168
2.17723 1.65088 6.09642
2.17976 1.65385 6.09269
2.17696 1.65207 6.09405
2.17696 1.65207 6.09405
2.17696 1.65207 6.09405
2.17696 1.65207 6.09405
2.17696 1.65207 6.09405
2.18005 1.65413 6.09279
2.17543 1.6538 6.09126
2.17543 1.6538 6.09126
2.18036 1.65343 6.09384
2.18036 1.65343 6.09384
2.18036 1.65343 6.09384
2.18085 1.65376 6.09421
2.18036 1.65343 6.09384
2.18063 1.65347 6.09378
2.18063 1.65347 6.09378
2.18124 1.65368 6.09229
2.17995 1.65368 6.09248
2.17995 1.65368 6.09248
2.17995 1.65368 6.09248
2.17995 1.65368 6.09248
2.17995 1.65368 6.09248
3.86326 1.86794 3.01429
3.86345 1.87107 3.01536
3.86345 1.87107 3.01536
3.86345 1.87107 3.01536
3.86326 1.86794 3.01429
3.86345 1.87107 3.01536
3.86184 1.8715 3.01497
3.86184 1.8715 3.01497
3.86176 1.86976 3.01513
3.86184 1.8715 3.01497
3.86312 1.87231 3.01681
3.8648 1.86952 3.01949
3.86176 1.86976 3.01513
3.86471 1.86919 3.01928
3.86548 1.87173 3.02032
3.86052 1.87012 3.01585
1.83933 2.6654 3.5668
1.83933 2.6654 3.5668
1.83771 2.66548 3.56384
1.83771 2.66548 3.56384
1.83771 2.66548 3.56384
1.83771 2.66548 3.56384
1.83389 2.6663 3.55944
1.83286 2.66718 3.55856
1.83535 2.66651 3.5613
1.83535 2.66651 3.5613
1.83641 2.66604 3.56251
1.83641 2.66604 3.56251
1.83641 2.66604 3.56251
1.83783 2.66482 3.55818
1.83641 2.66604 3.56251
0 0 0
1.34425 2.01616 6.08271
1.34277 2.01291 6.08065
1.34277 2.01291 6.08065
1.34425 2.01616 6.08271
1.34447 2.01556 6.08491
1.34462 2.01634 6.08533
1.3448 2.01668 6.08577
1.3448 2.01668 6.08577
1.34487 2.01655 6.08571
1.3448 2.01668 6.08577
1.3448 2.01668 6.08577
1.3434 2.01668 6.0853
1.3434 2.01668 6.0853
1.34345 2.01612 6.08541
1.34345 2.01612 6.08541
1.34345 2.01612 6.08541
3.64727 1.71503 3.1371
3.64727 1.71503 3.1371
3.64727 1.71503 3.1371
3.64727 1.71503 3.1371
3.64647 1.71406 3.13761
3.64628 1.71454 3.1372
3.64647 1.71406 3.13761
3.64613 1.71482 3.13765
3.64613 1.71482 3.13765
3.64613 1.71482 3.13765
3.64613 1.71482 3.13765
3.64613 1.71482 3.13765
3.79561 2.62826 2.0748
3.79125 2.62836 2.06927
3.79125 2.62836 2.06927
3.79125 2.62836 2.06927
3.79125 2.62836 2.06927
3.7856 2.62995 2.06355
4.46576 2.44409 5.26123
4.46857 2.44329 5.26236
4.46857 2.44329 5.26236
4.46857 2.44329 5.26236
4.47123 2.44552 5.26425
4.46857 2.44329 5.26236
4.46553 2.44627 5.26021
4.46553 2.44627 5.26021
4.46645 2.44342 5.26138
4.46626 2.44351 5.26101
4.46626 2.44351 5.26101
4.46626 2.44351 5.26101
4.46626 2.44351 5.26101
4.46387 2.44404 5.25981
4.46733 2.02736 1.36117
4.46563 2.02525 1.36141
4.4668 2.02632 1.36129
4.4668 2.02632 1.36129
4.46662 2.02434 1.36111
4.4668 2.02632 1.36129
4.46743 2.02606 1.36212
4.46743 2.02606 1.36212
4.46743 2.02606 1.36212
4.46673 2.02695 1.36146
4.4668 2.02704 1.36112
4.4668 2.02704 1.36112
4.46639 2.02606 1.36107
4.46639 2.02606 1.36107
4.46692 2.02616 1.36179
4.46692 2.02616 1.36179
4.46611 2.02575 1.36131
4.46611 2.02575 1.36131
4.46699 2.02671 1.36134
4.46648 2.02638 1.35967
4.46611 2.02575 1.36131
4.46834 2.0276 1.36538
4.4685 2.02775 1.36168
4.4685 2.02775 1.36168
4.4685 2.02775 1.36168
2.17999 1.65323 6.09338
2.17976 1.65385 6.09269
2.17976 1.65385 6.09269
2.18005 1.65413 6.09279
2.18005 1.65413 6.09279
2.18005 1.65413 6.09279
2.17696 1.65207 6.09405
2.17865 1.65298 6.09415
2.17484 1.65134 6.09479
2.17865 1.65298 6.09415
2.17865 1.65298 6.09415
2.17865 1.65298 6.09415
2.18085 1.65376 6.09421
2.18085 1.65376 6.09421
2.18063 1.65347 6.09378
2.18035 1.65393 6.09308
2.18035 1.65393 6.09308
2.18124 1.65368 6.09229
2.18124 1.65368 6.09229
2.18124 1.65368 6.09229
2.18154 1.65491 6.09467
2.18154 1.65491 6.09467
2.18154 1.65491 6.09467
3.86489 1.87028 3.01533
3.86204 1.87143 3.01792
3.86345 1.87107 3.01536
3.86345 1.87107 3.01536
3.86412 1.87064 3.01596
3.86412 1.87064 3.01596
3.86412 1.87064 3.01596
3.86412 1.87064 3.01596
3.86412 1.87064 3.01596
3.86573 1.86933 3.01832
3.86573 1.86933 3.01832
