EulerAngles_0 EulerAngles_1 EulerAngles_2
4.466807 2.4447569 5.261543
4.4668066 2.4447566 5.261543
4.4668056 2.4447559 5.261543
4.4668041 2.4447552 5.2615427
4.4668021 2.4447542 5.2615423
4.4667998 2.4447531 5.2615417
4.4667972 2.4447519 5.2615408
4.4667944 2.4447508 5.2615398
4.4667915 2.4447497 5.2615386
4.4667888 2.4447487 5.2615374
4.4667865 2.4447477 5.2615362
4.4667846 2.4447468 5.2615352
4.466783 2.4447461 5.2615344
4.4667819 2.4447456 5.2615339
4.4674598 2.0264545 1.361303
4.4674602 2.0264538 1.3613028
4.467461 2.0264523 1.3613024
4.467462 2.0264502 1.3613016
0 0 0
4.4674648 2.0264448 1.3612987
0 0 0
4.4674681 2.0264384 1.3612939
4.4674698 2.0264347 1.3612908
4.4674716 2.0264307 1.3612875
4.4674734 2.0264264 1.361284
4.4674752 2.0264219 1.3612803
4.4674769 2.0264173 1.3612766
4.4674787 2.0264125 1.3612727
4.4674806 2.0264077 1.3612687
4.4674824 2.026403 1.3612647
0 0 0
4.4674865 2.0263943 1.3612569
4.4674886 2.0263904 1.3612534
4.4674905 2.0263869 1.36125
4.4674923 2.0263839 1.361247
4.4674937 2.0263815 1.3612444
0 0 0
4.4674955 2.0263784 1.3612408
4.4674959 2.0263778 1.36124
2.1798843 1.6534962 6.0932195
2.1798852 1.6534961 6.0932196
2.1798865 1.6534959 6.0932197
2.1798883 1.6534954 6.0932196
2.1798907 1.6534946 6.0932194
2.1798936 1.6534936 6.0932192
2.1798972 1.6534924 6.0932188
2.1799016 1.6534911 6.0932182
0 0 0
0 0 0
2.1799182 1.6534859 6.0932154
2.1799245 1.6534839 6.093214
2.1799309 1.6534816 6.0932121
2.1799374 1.6534793 6.0932099
2.1799438 1.6534768 6.0932074
2.1799501 1.6534744 6.0932049
2.1799561 1.6534719 6.0932024
2.1799619 1.6534697 6.0932
0 0 0
2.1799721 1.653466 6.0931952
2.1799765 1.6534646 6.093193
2.1799801 1.6534635 6.0931911
2.179983 1.6534625 6.0931895
3.8634503 1.870373 3.0162051
3.8634505 1.8703731 3.0162053
3.863451 1.8703735 3.0162055
3.8634518 1.8703741 3.0162059
3.8634528 1.8703748 3.0162064
3.8634538 1.8703758 3.0162068
3.863455 1.870377 3.0162074
3.8634561 1.8703784 3.0162079
3.8634571 1.8703801 3.0162085
3.863458 1.8703818 3.0162092
3.8634588 1.8703834 3.01621
3.8634595 1.8703848 3.0162108
0 0 0
3.8634606 1.8703868 3.0162119
3.8634608 1.8703873 3.0162122
3.863461 1.8703876 3.0162123
1.8350375 2.6661751 3.5611107
1.8350382 2.666176 3.5611081
1.8350389 2.6661771 3.5611051
1.8350398 2.6661784 3.5611018
1.8350408 2.66618 3.5610983
1.8350418 2.6661817 3.5610945
1.8350427 2.6661837 3.5610906
1.8350434 2.6661857 3.5610865
1.835044 2.6661877 3.5610823
1.8350444 2.6661898 3.5610779
1.8350446 2.666192 3.5610735
