EulerAngles_0 EulerAngles_1 EulerAngles_2
4.4721361 2.4456304 5.2523807
4.4761873 2.4514247 5.262403
4.4701584 2.4392697 5.2667445
4.4649542 2.4448924 5.2605248
4.4545057 2.450435 5.2574775
4.4595364 2.4537485 5.2600152
4.4616815 2.4298589 5.2598965
4.4686787 2.4437324 5.2629626
4.4728778 2.4409941 5.2710534
4.4582284 2.4518318 5.2537541
4.4532689 2.452068 5.2528238
4.4739258 2.4370039 5.2616342
4.4552606 2.4501481 5.2416672
4.4808175 2.4457669 5.2648918
4.460745 2.0283748 1.3573183
4.466463 2.0322043 1.354226
4.464555 2.0273916 1.3599094
4.4669397 2.0264801 1.3611904
2.27547 1.88339 3.9543
4.4644777 2.0201944 1.3634326
2.42852 1.60871 6.08932
4.4776409 2.0366359 1.3723113
4.4601698 2.0301338 1.3558321
4.4810758 2.0294286 1.363272
4.4653225 2.0243755 1.3552809
4.4753341 2.024448 1.3596991
4.465746 2.0327662 1.3602264
4.4761888 2.0234914 1.3785276
4.4747909 2.0316913 1.3615485
4.4625097 2.0226686 1.3529286
3.70519 1.34265 4.52051
4.4709137 2.0281115 1.3578494
4.4667037 2.0202657 1.3749165
4.4784648 2.0323822 1.3587187
4.4693806 2.0234376 1.3589909
4.4776511 2.022871 1.3616467
5.91733 0.62737 5.58051
4.4650756 2.0243336 1.3564625
4.4627613 2.0198859 1.3489806
2.1792364 1.6523764 6.0922487
2.1789422 1.6518981 6.0931665
2.1786862 1.6666452 6.1006277
2.1795928 1.6555524 6.0944147
2.1882013 1.665828 6.0915798
2.1730215 1.6500717 6.0931287
2.1783012 1.652508 6.0925634
2.1751498 1.6596593 6.0917258
0.99894 0.82454 2.8126
4.65772 1.48584 4.62602
2.1842321 1.6549424 6.0880864
2.1783328 1.6572521 6.106145
2.1796904 1.6555814 6.0996916
2.1798821 1.6537948 6.0939399
2.178491 1.6569807 6.0936602
2.1808393 1.6576154 6.0804645
2.1793677 1.6536098 6.1036295
2.1779822 1.6472235 6.0901116
4.39766 2.06405 3.07295
2.1806585 1.6527874 6.094653
2.1838823 1.6524872 6.0939852
2.1888126 1.6569823 6.0885329
2.1837363 1.6559317 6.0891666
3.8664878 1.8705833 3.0155928
3.8529036 1.8675057 3.0189946
