EulerAngles_0 EulerAngles_1 EulerAngles_2
4.4694848 2.4483519 5.2586079
4.4696708 2.4484597 5.2609189
4.4687848 2.4469969 5.2621116
4.4686533 2.4464246 5.2624247
4.4654938 2.4470372 5.2616488
4.465243 2.4465898 5.2617203
4.4655852 2.4422754 5.2618404
4.4660661 2.4443571 5.2619127
4.4655264 2.4447673 5.2613399
4.4638929 2.4458515 5.2599009
4.4632682 2.4463751 5.2591043
4.4664462 2.4427963 5.2578922
4.4619864 2.4453688 5.2515352
4.4735803 2.445796 5.2596306
4.465712 2.0320073 1.3571794
4.4663712 2.0303584 1.358763
4.4670422 2.0286953 1.360349
4.4676995 2.0270418 1.3619067
2.27547 1.88339 3.9543
4.4688543 2.022676 1.3642871
2.42852 1.60871 6.08932
4.4708256 2.0332144 1.3639352
4.468447 2.0302892 1.3606807
4.4693178 2.0291073 1.3613403
4.4689812 2.0284563 1.3614022
4.4686612 2.0278903 1.3614292
4.4683648 2.0274534 1.3614532
4.4692714 2.0263637 1.364073
4.4683102 2.0265262 1.3619812
4.4674942 2.0258353 1.36141
3.70519 1.34265 4.52051
4.468479 2.0254801 1.3621517
4.4691067 2.0243676 1.3641404
4.4712783 2.025181 1.3617884
4.4718068 2.0239015 1.3615621
4.4728015 2.023457 1.3613591
5.91733 0.62737 5.58051
4.4685327 2.0236136 1.3554629
4.4686517 2.0243788 1.3528763
2.1797745 1.652157 6.0945244
2.1790892 1.6522894 6.0944002
2.1788909 1.6563291 6.0957014
2.1782936 1.6563454 6.0955221
2.17934 1.6578593 6.0942815
2.1760006 1.6552503 6.0945075
2.1756101 1.6552293 6.0945281
2.1752314 1.655773 6.0939559
0.99894 0.82454 2.8126
4.65772 1.48584 4.62602
2.178678 1.6550785 6.0947134
2.1783278 1.6548112 6.0961926
2.1785642 1.6545921 6.0957371
2.1788781 1.6542587 6.0956337
2.1792191 1.6539236 6.0955915
2.1801736 1.6541136 6.0917613
2.1792277 1.6521002 6.0963057
2.1794547 1.6516285 6.0960669
4.39766 2.06405 3.07295
