EulerAngles_0 EulerAngles_1 EulerAngles_2
4.469512 2.4505437 5.2582849
4.4704445 2.4470819 5.2615802
4.4693559 2.4466646 5.2622467
4.4650115 2.4442753 5.2625717
4.4641069 2.4483275 5.2604497
4.4619972 2.4434166 5.2600329
4.4668718 2.443967 5.2612399
4.4680401 2.4391661 5.263869
4.4684406 2.4459568 5.2625472
4.4626212 2.4469011 5.260539
4.4637572 2.444982 5.2583469
4.4584248 2.4452939 5.2510798
4.4674954 2.4424668 5.2554527
4.462487 2.4464443 5.2513521
4.4654641 2.0304996 1.3580467
4.4639983 2.0303751 1.3587313
4.4653527 2.0301853 1.3595276
4.4647096 2.026575 1.3597689
2.27547 1.88339 3.9543
4.4664493 2.024031 1.3607809
2.42852 1.60871 6.08932
4.465802 2.0318112 1.3602756
4.471229 2.0320075 1.3624079
4.4675555 2.0295743 1.3579628
4.4738702 2.0279342 1.3610734
4.4687263 2.0294645 1.3592697
4.4715057 2.0254177 1.3652724
4.4705005 2.0281244 1.3652408
4.4699828 2.0241705 1.3642959
4.4687357 2.0276032 1.3599155
3.70519 1.34265 4.52051
4.4678508 2.0236627 1.3649737
4.4713739 2.0254089 1.3632573
4.4699665 2.0246265 1.3640851
4.4742569 2.0242009 1.3601628
4.4709115 2.0220354 1.3591734
5.91733 0.62737 5.58051
4.4686173 2.0245026 1.3554678
4.4687914 2.0242995 1.3533361
2.1793224 1.6498056 6.0929559
2.1787541 1.6543015 6.0955833
2.1784274 1.6544375 6.0967571
2.1806661 1.6613199 6.0970591
2.1782992 1.6554932 6.095061
2.1792802 1.655409 6.0941521
2.1757876 1.6546783 6.0928539
2.1769394 1.6561701 6.0921864
0.99894 0.82454 2.8126
4.65772 1.48584 4.62602
2.1793359 1.6538989 6.0971998
2.1811508 1.6543715 6.0979062
2.1796659 1.6542784 6.0991891
2.1785018 1.6546803 6.0958027
2.1788165 1.6550216 6.0895023
2.1785749 1.6550264 6.0939916
2.179187 1.6525927 6.0908167
2.1791576 1.6514865 6.0982982
4.39766 2.06405 3.07295
2.1816661 1.6526962 6.0950614
2.1834906 1.6539586 6.0921892
2.1836559 1.6544905 6.0910054
2.1836845 1.6552226 6.0901909
3.8613511 1.8692051 3.0160959
3.8596324 1.8692375 3.0148388
3.8573047 1.8704615 3.0158405
3.8621526 1.8711553 3.0165741
3.8618794 1.8712663 3.0159609
3.8629723 1.870524 3.0168212
3.8615225 1.8681716 3.0157119
3.8654953 1.8704927 3.0190056
3.8633801 1.8704607 3.0144702
3.8635107 1.8722154 3.0161731
3.8600908 1.8753889 3.015462
3.8627317 1.8741055 3.0205687
4.9088 1.64712 3.51266
3.8628218 1.8717753 3.0193761
3.8632153 1.8718438 3.0164989
3.8607542 1.8684998 3.0155356
1.8393399 2.6660965 3.5625735
1.8367675 2.6692199 3.5590097
1.834735 2.6662999 3.5579478
1.8329442 2.6660244 3.5557057
1.8352557 2.6609044 3.5589557
1.8352902 2.6658189 3.5584207
1.8348952 2.6670021 3.5592292
1.8390244 2.6669634 3.5645144
1.8360496 2.6639139 3.5640098
1.8424032 2.6618437 3.5717797
1.835008 2.6637407 3.564347
1.8432311 2.6678945 3.5706468
1.8273631 2.6664485 3.5541837
1.8300397 2.6683012 3.5575059
1.8268673 2.6660749 3.5541002
1.8338818 2.6679095 3.5617172
1.3483197 2.0152876 6.0922606
1.3505138 2.0147997 6.0929507
5.65802 0.60901 1.33383
1.343077 2.0174346 6.0887076
1.3445088 2.0173081 6.0856323
1.3446956 2.0162299 6.0848424
1.3476341 2.0161438 6.0831524
1.349718 2.0174114 6.0854649
1.3491421 2.0182557 6.089099
1.3534768 2.0153526 6.0882414
1.3499137 2.0142618 6.0883606
1.3470076 2.0184842 6.083999
1.345898 2.0202651 6.0868041
1.3426954 2.0180611 6.0850771
1.3424966 2.0183123 6.0888804
1.3399948 2.020121 6.0893135
3.644998 1.7149064 3.1366532
0.6625 0.98615 4.99137
3.6455123 1.7125385 3.1357497
3.6466357 1.7171495 3.1366624
3.6457305 1.7106951 3.1383811
3.646858 1.7145768 3.1408006
3.6458869 1.7104142 3.1401928
3.6456757 1.7154857 3.14083
3.6458196 1.7167708 3.1409023
3.7962944 2.6345221 2.0660554
3.7974275 2.6299308 2.0725851
3.793653 2.6267291 2.0733888
3.7886849 2.6279255 2.0698536
3.7855887 2.6316843 2.0660446
3.790307 2.6337021 2.0671391
3.7915797 2.6329309 2.0686452
3.7970764 2.6269117 2.0727652
3.799129 2.6236611 2.0767148
4.4650187 2.4498236 5.254962
4.4686595 2.4490147 5.2598901
4.4702031 2.4488736 5.2612704
4.4675607 2.4477201 5.2628391
4.4681044 2.4477235 5.2633217
4.4668833 2.4460793 5.2660219
4.4698527 2.4439454 5.2632135
4.4643084 2.4424047 5.2604186
4.4648932 2.4461977 5.2592886
4.4596965 2.4478641 5.2589979
4.4636434 2.4454237 5.2600916
4.4614783 2.4452191 5.2548248
4.47019 2.4444215 5.25884
3.73207 2.70304 5.6738
4.4661487 2.0303537 1.3581228
4.4651501 2.0290633 1.3580984
4.4669181 2.0297148 1.3612465
4.4662386 2.0245731 1.3609302
4.4698335 2.0242508 1.3639611
4.4713561 2.0211289 1.3633545
2.24628 1.26574 4.14579
4.4671202 2.0277199 1.3599785
4.469153 2.028143 1.3619015
4.4696676 2.028534 1.360263
4.4720717 2.0259218 1.3617617
4.4700311 2.029825 1.3607423
4.4685198 2.0271624 1.3629413
4.4684117 2.0295515 1.3637928
4.4670753 2.0262675 1.3618797
4.4656076 2.0272857 1.3603093
4.4675401 2.0246235 1.3594063
4.4681169 2.0262636 1.3635171
4.4702094 2.0244144 1.3635472
4.4687481 2.025589 1.3620835
4.4719848 2.0236372 1.3619214
4.4714294 2.0234077 1.3597527
4.4729892 2.0228107 1.3604038
4.4699868 2.0252519 1.3557786
4.470765 2.0258382 1.3545948
1.43106 2.7153 1.26414
2.1800868 1.6522687 6.0969946
2.1799167 1.6534144 6.0973341
2.1797847 1.6590749 6.0957492
2.1761376 1.6570499 6.0933973
2.1749849 1.656395 6.0940384
2.1739604 1.6559712 6.0928019
2.1749278 1.6549091 6.0957775
2.1748995 1.6550663 6.0937862
2.1769095 1.65299 6.0938517
2.177923 1.6546456 6.096593
2.1800437 1.6554652 6.0962546
2.1799857 1.654998 6.0984116
2.1793275 1.6544504 6.0963639
2.1811103 1.6550821 6.0909463
2.18093 1.6538924 6.0936089
1.68451 1.22276 2.40102
2.1797389 1.6506467 6.0983956
2.1791792 1.6509041 6.0957617
2.1806144 1.6531058 6.0951616
2.1823424 1.6549889 6.0918194
2.1834375 1.6559252 6.0921591
2.1823111 1.6552848 6.0915016
3.54388 1.7815 1.73795
3.8598818 1.8679094 3.0132079
3.8581958 1.8687996 3.0129201
3.8599874 1.8699769 3.0153167
3.8605145 1.8691784 3.0172716
3.8626004 1.8675887 3.019105
3.8613233 1.8652951 3.0174503
3.8658484 1.868423 3.0176219
3.8635853 1.8688959 3.0153221
3.8616105 1.8718516 3.0141872
3.8583016 1.8712815 3.0144059
0.39648 2.58555 3.96034
3.8627304 1.8738137 3.0172013
3.8615682 1.8718953 3.0174662
3.8640647 1.8708304 3.0155065
3.8646104 1.869408 3.015891
1.8363804 2.6663068 3.562035
1.831941 2.6665471 3.5574795
1.8305767 2.664472 3.5561987
1.8301848 2.6640449 3.5560937
1.8363299 2.6631868 3.5602004
1.8367436 2.6650833 3.5592319
1.8375159 2.6663303 3.560412
1.8367856 2.6657848 3.561752
1.8344351 2.661964 3.5611274
1.8373675 2.6620594 3.5649634
1.8357475 2.6607925 3.5639136
1.8401203 2.6655981 3.5657696
1.8315467 2.6631975 3.5557861
1.8287542 2.6663771 3.5531912
1.8230257 2.6654693 3.548522
1.8313422 2.6677089 3.5572991
1.3455026 2.01594 6.087309
1.3484331 2.0185394 6.088932
1.3405591 2.0020529 6.0680333
1.3384371 2.0052035 6.0693149
1.3381081 2.0056012 6.0679681
1.3481399 2.0187527 6.085868
1.347523 2.0182811 6.0856367
1.349035 2.0168801 6.0858999
1.3464209 2.0185318 6.0878207
1.3485884 2.0169467 6.0879225
1.3482251 2.0159758 6.0872647
1.3473362 2.0176706 6.0853993
1.3447315 2.0170788 6.0850881
1.3411458 2.01708 6.0829035
1.3421176 2.0158087 6.0851078
1.3403001 2.0187769 6.0867521
3.645883 1.7156499 3.1367267
0.15791 1.31776 0.30008
3.6498806 1.7148357 3.1346531
3.6499713 1.7181582 3.1347479
3.6478479 1.7141677 3.1368346
3.6471378 1.7149443 3.1397478
3.6457095 1.7119819 3.1382478
3.6457154 1.7146138 3.1392679
3.6459472 1.7168742 3.1385315
3.6467264 1.716543 3.1411925
3.7954777 2.6299003 2.070756
3.7913648 2.6277583 2.0701301
3.7885784 2.6279299 2.0692364
3.7873964 2.6302741 2.0696199
3.7880975 2.6313205 2.0686242
3.7926598 2.6315006 2.0711326
1.07682 2.21611 1.65795
3.7955368 2.6248711 2.0717033
4.4627629 2.449839 5.2604147
4.4656684 2.4492493 5.2622237
4.4693096 2.4479001 5.2637468
4.4701104 2.4472126 5.2641758
4.4733445 2.4437284 5.2634819
4.472254 2.4457516 5.2644409
4.4695921 2.4444619 5.2602992
4.4648631 2.4466035 5.2593931
4.4639091 2.4469762 5.2597248
4.4622014 2.4454301 5.2602298
4.4693016 2.4430616 5.2653467
4.4656247 2.4428689 5.2597956
4.4698225 2.4436967 5.2615076
4.463542 2.4472913 5.2583848
4.4705424 2.0318379 1.3599095
4.4680756 2.0301767 1.3590782
4.4677493 2.0290787 1.364268
4.4684718 2.0253814 1.3621619
4.4719835 2.0255688 1.3658086
4.4718745 2.0222043 1.3658108
4.4705757 2.0247848 1.3649149
0.60431 2.66091 3.78131
4.4660269 2.0258294 1.3619025
4.4684593 2.0279055 1.3640563
4.4679603 2.0261099 1.361774
4.4681272 2.0291847 1.3608045
4.4655889 2.0272944 1.3591258
4.4652053 2.0255471 1.3614357
4.4655461 2.0255508 1.3631594
4.4657313 2.0267068 1.3634422
4.46921 2.0253617 1.3618778
4.4667793 2.0255466 1.3590002
4.467577 2.0240637 1.3603103
4.4676489 2.0271639 1.3618769
3.81228 1.07366 5.0281
4.4713663 2.0260767 1.3636343
4.4728409 2.0244725 1.3643091
4.4724588 2.0272092 1.3611701
4.4736712 2.0281378 1.3596631
3.28188 2.20358 3.59565
2.179665 1.6503478 6.094041
2.1780136 1.6517852 6.0943742
2.1771514 1.654903 6.0959928
2.176648 1.6557348 6.0941305
2.1759266 1.653641 6.0948659
2.1755237 1.6523393 6.0931518
2.1734419 1.6519813 6.0949952
2.1728316 1.6529166 6.0931669
2.1736607 1.6526622 6.0943394
2.1774995 1.6552598 6.0956547
2.1802981 1.6552531 6.0957096
2.1801752 1.6549193 6.0955623
2.1775205 1.653095 6.0953462
2.1798318 1.6533734 6.0945168
2.1787537 1.6524209 6.0943476
2.181812 1.6529973 6.0912252
2.1777185 1.6502049 6.0966671
2.1788516 1.6512913 6.0969698
2.1796042 1.6530705 6.0985163
2.1791427 1.6526027 6.0944246
2.1797983 1.6537308 6.0946688
2.1790985 1.6523192 6.094101
